ba_score,beer_number,comment,date,feel,look,overall,rdev,smell,taste,username 
4.67,95837,,"Mar 05, 2018",4.75,4.25,4.5,,4.75,4.75,shockwavecs
4,95837,,"Feb 17, 2018",4,4,4,,4,4,SGR1220
4.25,110513,,"Jan 27, 2014",,,,,,,fivetime
3.9,235511,,"Jun 13, 2016",,,,,,,LXIXME
3.35,167332,"Pours the standard black with a fairly long lasting dark brown head that shows great sudsy lacing.... Nose shows dark chocolate and some deep coffee char.. Yeasty notes are pretty much in the background... Smells pretty much like a light American Stout.... Tastes mirrors the aromas... Hints of yeasty elements arise with warmth, but too little, too late... Light/medium body... Nice smoothness to it. The bones of a good beer, but I would prefer to see it dialed in a bit.<br>
<br>
4/3.25/3.25/3.75/3.25<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">496 characters</span><br><br>","Jul 14, 2015",,,,,,,JohnGalt1
3.79,167332,,"Apr 08, 2015",,,,,,,kamikazeokami
3,90735,,"Jul 26, 2016",3,3,3,-24.4%,3,3,largadeer
3.84,90735,,"Jul 06, 2016",4,4,4,-3.3%,3.75,3.75,micropale
3.75,90735,"On tap at Rose &amp; Crown, Palo Alto, CA<br>
<br>
This beer really didn't do anything wrong for the style. But nothing stood out either. Could have been a bit more tart for my preference. <br>
<br>
$10 for a 1/2 pint is a friggin joke... Did not factor this fact into my rating. Come to think of it, I should have. I expected more.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">312 characters</span><br><br>","Mar 01, 2016",3.75,3.75,3.75,-5.5%,3.75,3.75,RBassSFHOPit2ME
4,53808,,Yesterday at 06:10 AM,4,4,4,,4,4,km02600
3.78,284568,"On tap at the brewpub in Boise. <br>
Clear amber body with a fine head and  lacing. <br>
Aroma is normal or low strength for style, and bready.<br>
Flavor is surprisingly sweet n but this is mild, transitions to lightly bitter by three aftertaste. Nice sweet to mildly bitter transition. <br>
Good balance. Easy drinking.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">305 characters</span><br><br>","Jun 02, 2017",,,,,,,chinchill
3.56,127680,,"Jun 13, 2016",3.75,4,3.5,-3.8%,3.5,3.5,LXIXME
3,127680,,"Sep 11, 2014",,,,-18.9%,,,KevMo84
4.25,138326,,"Oct 29, 2014",,,,,,,jakewatt135
4.25,138326,,"Oct 29, 2014",,,,,,,Kurmaraja
3.82,84174,,"Mar 09, 2017",3.5,4.25,3.75,-5.2%,4,3.75,Rutager
4.02,170128,"Pour is a gorgeous golden copper color with a tan head, and ample amounts of hop haze.  The first thing I notice on the nose is a sledgehammer wallop of tropical fruit - maybe pineapple and passion fruit?  There’s also a significant malt presence.<br>
<br>
The taste has a dank component (thank you, Mosaic hops), with a dollop of passion fruit - but there’s also resiny pine notes which I didn’t get on the nose, and a bitter hop bite in general, lus some nice caramalt notes.<br>
<br>
This is an old-school IPA which is worthy of your time, IMHO.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">538 characters</span><br><br>","Jan 07, 2018",4,4.25,4,,4,4,ovaltine
4.05,170128,,"Jan 05, 2018",4,3.75,4,,4.25,4,pirmannt1
4.5,90624,,"Jul 25, 2013",,,,,,,Dakotah
4,90624,,"Jul 20, 2013",,,,,,,Ami-Kate
3.75,90624,,"Jul 14, 2013",,,,,,,mc4z
3.5,90624,,"Jul 12, 2013",,,,-1.7%,,,ambruns1979
4.82,90624,,"Jul 06, 2013",5,4.5,4.75,,5,4.75,Suzanna
4.5,89660,,"May 12, 2013",,,,,,,sharpski
3.75,89660,,"May 09, 2013",,,,-8.3%,,,LXIXME
4.25,89660,,"May 09, 2013",,,,,,,spark3148857
4.16,211580,,"Feb 26, 2016",4,4,4,,4.25,4.25,aasher
4,211580,,"Feb 22, 2016",4,4,4,,4,4,NickThePyro
3.83,211580,,"Feb 20, 2016",3.75,4,3.75,-0.5%,4,3.75,dertyd
3.92,211580,,"Feb 19, 2016",3.75,4,4,,3.75,4,Braz
3.75,68870,,"Mar 25, 2013",,,,,,,harrymel
3.75,68870,,"Mar 24, 2013",,,,,,,twelveinches
3.25,45496,,"Nov 03, 2014",,,,-11%,,,deebo
3.75,45496,,"Sep 20, 2014",,,,,,,jmccraney
4,45496,,"Sep 17, 2014",,,,,,,Graemejw
3,93805,,"May 29, 2013",,,,-11.2%,,,johnnyboy76
3.75,95837,,"Feb 10, 2018",3.75,3.75,3.75,-5.3%,3.75,3.75,VaporDome
4.15,95837,,"Feb 09, 2018",3.75,3.75,4.25,,3.75,4.5,FatSean
4,110513,,"Jan 27, 2014",,,,,,,Greels
4,90735,,"Feb 11, 2016",4,4,4,,4,4,JRod1969
3.74,90735,,"Jan 21, 2016",3.75,3.5,3.75,-5.8%,3.75,3.75,Dolfan907
3.53,90735,,"Oct 13, 2015",3.75,3.5,3.5,-11.1%,3.5,3.5,StonedTrippin
3.8,53808,"Kind of a cloudy look but mostly an earthy hop aroma with some hints of fruit and citrus.  Full off-white head.  Soft malt profile.<br>
Nice full and soft feel.  Well balanced drink.  Some malt up front but hops from start to finish with a soft and grapefruit bitterness on the finish.  Touch of warmth in the gut.  More fruit from the hops in the flavor but still an earthy character dominates.   Get little hits of hoppy excess (not a fan).  Bitterness grows throughout the drink.<br>
Fun, young, good looking, fit and active people enjoying the outdoors on the web page.   Can others join the party?<br>
Donation from younger brother.  Many thanks.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">639 characters</span><br><br>",Saturday at 11:02 PM,4.25,3.75,3.75,-1.6%,3.75,3.75,garymuchow
3.75,53808,,"May 24, 2018",3.75,3.75,3.75,-2.8%,3.75,3.75,blissfulNemo
4,53808,,"May 23, 2018",4,4,4,,4,4,bcuz7
4.25,127680,,"Aug 28, 2014",,,,,,,Beerasaurus
3.99,127680,"RB<br>
<br>
On tap tonight at Bier Thirty in Bown for the NABA brewer's medal get together. Poured into a pint... much darker brown than most American Browns, but still good clarity with a long lasting light khaki head.<br>
<br>
Nose is very balanced between some pretty righteous citrus/tropical hops and some toasty malt with hint of chocolate on the finish.<br>
<br>
Flavor has all the same elements as the aroma, but with a mid-palate sweetness that tames the bit American hops and ties it into the toasty/light cocoa malt presence.<br>
<br>
Drinkability is off the charts... Complex without being overbearing... Plenty of nuances that mesh pretty much perfectly.<br>
<br>
3.75/4/4/4/4<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">649 characters</span><br><br>","Jul 03, 2014",4,3.75,4,,4,4,JohnGalt1
4,138326,,"Oct 20, 2014",,,,-3.1%,,,mdaschaf
4.5,138326,,"Oct 15, 2014",,,,,,,SeeingMeansMore
4.28,84174,,"Dec 29, 2016",4.25,4.5,4,,4.5,4.25,jkonte
3.95,95838,,"Sep 12, 2016",4,3.25,4.25,,3.75,4,PMarcy78
3.29,95838,,"Aug 26, 2016",3.5,3.5,3.25,-2.9%,3.25,3.25,stevoj
3.59,170128,,"Dec 25, 2017",3.75,3.5,3.5,-9.6%,3.75,3.5,jimpyle48
3.34,114394,"Draft at the brewpub... Pours surprisingly dark amber... Foamy off white head... This one is all about the caramel and toffee malts... not overly done and not ever cloying, but IMO needs more of a hoppiness to balance out the sweetness... Half a glass was plenty and pretty filling.<br>
<br>
3.75/3.5/3.25/3.25/3.25<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">307 characters</span><br><br>","Feb 27, 2016",3.25,3.75,3.25,,3.5,3.25,JohnGalt1
3.5,90624,,"Jul 05, 2013",,,,-1.7%,,,jakecattleco
4.5,89660,,"May 02, 2013",,,,,,,boralyl
4.5,89660,,"Apr 29, 2013",,,,,,,digita7693
4.13,211580,"Bottle from Whole Foods. <br>
<br>
A clear light copper with a dense, off white head with excellent retention and lacing, this looks great. The nose is solid. Fruity, mild melon, stone fruit, a little bit of pine essence, some floral honey, this is bright but restrained. A touch of candied citrus is present as well. The palate opens clean, mildly bitter and with moderate hop flavor. Mild melon, peach, pink lady apple ( especially the crisp and refreshing aspects) up front followed by a mildly sweet mid palate with honey, a little sugar and fruit juice. The finish is impeccable, clean, refreshing, fruity with just enough hop oil and hop bitterness to tie all the aspects together. Soft and creamy carbonation make this quite enjoyable as well. Excellent stuff.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">759 characters</span><br><br>","Feb 15, 2016",4.5,3.75,4.25,,3.75,4.25,DefenCorps
3.96,211580,,"Feb 15, 2016",3.75,3.75,4,,4,4,ghostxyz3
3.5,68870,,"Mar 05, 2013",,,,-4.6%,,,jooj8
3.25,68870,,"Mar 04, 2013",,,,-11.4%,,,nzerbe
4,45496,,"Sep 11, 2014",,,,,,,KevMo84
3.9,45496,,"Sep 10, 2014",,,,,,,jds16
3.75,93805,,"May 24, 2013",,,,,,,Kopfschuss
3,93805,,"May 19, 2013",,,,-11.2%,,,sharpski
4,95837,,"Jan 28, 2018",4,4,4,,4,4,Vic333
3.72,95837,"12 oz. can:<br>
<br>
Pours lemon yellow with a head that disappears pretty quickly. Virtually no lacing. A little fizzy head and little lacing expected for the style.<br>
<br>
The smell is of yeast, mildly sour, fresh cucumber.<br>
<br>
The taste is of sour cucumber, though not in a pickled way. Salt comes through in the finish.<br>
<br>
A refreshingly light body. Fresh salted cucumber lingers.<br>
<br>
A unique novelty brew - Salted cucumber with mild sour yeast character. Refreshing.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">450 characters</span><br><br>","Jan 26, 2018",4,3.75,3.75,-6.1%,3.5,3.75,jwc215
3.93,183563,,"Oct 04, 2015",3.75,4,3.75,,4,4,DOCRW
3.3,183563,,"Sep 10, 2015",3.25,4,3.25,-8.3%,3.25,3.25,Fargrow
3.73,254367,,"Oct 27, 2016",,,,,,,Gagnonsux
4.01,264043,,"Jan 16, 2017",,,,,,,devilmakesthree
3.5,183556,,"Apr 01, 2017",3.5,3.5,3.5,-3.3%,3.5,3.5,kvgomps
4,183556,,"Oct 21, 2016",4,4,4,,4,4,NickThePyro
3.75,223053,,"Apr 04, 2016",,,,,,,kylehay2004
4,90735,,"Oct 03, 2015",4,4,4,,4,4,Elicoleman
3.85,335769,,"Mar 30, 2018",,,,,,,stevoj
3.83,53808,"A: The beer is slightly hazy yellow in color and has a light amount of visible carbonation.  It poured with a quarter finger high white head that died down, leaving a short head covering the surface and lacing down the sides of the glass.<br>
S: Moderate aromas of grapefruit hops are present in the nose along with hints of pine.<br>
T: The taste follows the smell and has flavors of citrusy and piney hops with hints of underlying caramel malts and a moderate amount of bitterness.<br>
M: It feels medium-bodied and crisp on the palate with a moderate amount of carbonation.<br>
O: This IPA is quite drinkable and isn't overly heavy on the palate or too bitter.  I would almost call this sessionable if it was a little less than 6.8% abv.<br>
<br>
Serving type: can<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">743 characters</span><br><br>","May 13, 2018",4,3.75,4,-0.8%,3.75,3.75,metter98
4.05,138326,"RB<br>
<br>
Pours a pretty hazy orange with a muddy purple tinge when held to a light... short lived white head still leaves behind pretty okay lacing.<br>
<br>
Nose is pretty awesome... fruitastic mix that reminds me of ripe strawberries and the essence of Concord Grapes... <br>
<br>
Flavor is tart and not as acidic as most sours, but the fruitiness moves through and leaves behind a tannic note that I associate with black currants...<br>
<br>
I don't know that I believe this is 8.5%... in fact, I sorta doubt it.. This is surprisingly drinkable and shows no real flaws... Just a nice fruity Berliner.<br>
<br>
3/4.25/4/4/4.25<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">591 characters</span><br><br>","Sep 23, 2014",4,3,4.25,-1.9%,4.25,4,JohnGalt1
3.95,84174,,"Dec 10, 2016",3.75,4.25,4,-2%,4.25,3.75,IDABEERGUY
4.44,84174,,"Apr 20, 2016",4.5,4.5,4.5,,4.25,4.5,1424IpA
3.65,95838,,"Aug 10, 2016",3.5,3.5,3.75,,3.5,3.75,tone77
3.5,95838,,"Jul 04, 2016",3.5,3.5,3.5,,3.5,3.5,Danielr26
4,170128,,"Dec 21, 2017",4,4,4,,4,4,brewme
2.5,114394,,"Aug 24, 2014",,,,-17.5%,,,TubaDan
3,114394,,"Jul 16, 2014",,,,-1%,,,atpca
3.25,90624,,"Jul 02, 2013",,,,-8.7%,,,RBassSFHOPit2ME
4.25,90624,,"Jun 29, 2013",,,,,,,Nage37
4.34,89660,"Had 2 nice glasses on tap at Bar Gernika in Boise.... Pours with a short lasting sudsy white head... the brew is polished straw golden... Proper.<br>
<br>
The nose is brightly acidic with some background earthy notes.<br>
<br>
Flavor mirrors the nose with some lemon zest... very lactic with no vinegar notes... some sorta background grainy notes helps propel the acidity from front to back.<br>
<br>
The expected light body with plenty of prickly carbonation.<br>
<br>
Wow... I hope they bottle this one... I could drink this again and again.<br>
<br>
4/4.25/4.5/4.25/4.25<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">543 characters</span><br><br>","Feb 03, 2013",4.25,4,4.25,,4.25,4.5,JohnGalt1
3.8,211580,,"Feb 14, 2016",3.75,3.75,4,-1.3%,3.75,3.75,TrueMetalJake
4.31,211580,,"Feb 13, 2016",4.25,4.25,4.25,,4.5,4.25,jtosch
4.04,211580,,"Feb 05, 2016",3.75,4,4,,4.25,4,zestd
3.75,68870,,"Jan 14, 2013",,,,,,,FrancisT
4.37,68870,"Pours a very blonde color with a one-finger head into my glass. It's closer to the PALE in IPA than a few others I've had recently.<br>
<br>
Citrus notes upfront, mainly mango with a touch of buttery bread. Not sure what to make of it aroma-wise. <br>
<br>
Clean, crisp and chewy with very good use of hops. It's not BITTER and provides a good contrast between a hoppier IPA and mellower pale ale. <br>
<br>
Lingering breadiness and citrus hops make for a great mouthfeel. Very clean. Enjoyable for the low ABV too!<br>
<br>
I'd like to see this trend of sessionable IPAs continue. It's a welcome direction and beats the hell out of a bland pale ale!<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">618 characters</span><br><br>","Jan 11, 2013",4.25,4.5,4.25,,4.25,4.5,Brad007
3,68870,,"Jan 10, 2013",,,,-18.3%,,,chippo33
4,45496,,"Aug 29, 2014",,,,,,,freed
3.75,45496,,"Aug 28, 2014",,,,,,,Beerasaurus
3.74,93805,"The base beer is a Berliner back sweetened (I believe) with a grapefruit/citrus soda... Think much more refined than the Stiegl Grapefruit Radler.<br>
<br>
6-pack picked up tonight at the 16th St. Albertsons.... Paid about $8.... Poured into my goto tulip... the brew is a softly hazed dark golden orange with a short lasting white head with no real lacing or cap.<br>
<br>
The Berliner presence comes through nicely on the nose... so does a fairly abundant sweet citrusy essence... but still the Berliner is the bigger player.<br>
<br>
The flavor mirrors the nose flawlessly... very tasty and very drinkable.<br>
<br>
Body is a bit heavier than expected, probably magnified by the residual sugars... carbonation is also lighter than I hope for, but it is not a game changer.<br>
<br>
Very refreshing.<br>
<br>
3.5/3.75/3.75/3.75/3.75<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">798 characters</span><br><br>","May 18, 2013",3.75,3.5,3.75,,3.75,3.75,JohnGalt1
4.25,95837,,"Jan 20, 2018",4.25,4.25,4.25,,4.25,4.25,Davit
3.59,95837,,"Jan 19, 2018",3.75,3.75,3.75,-9.3%,3.5,3.5,ordybill
4.06,183563,,"Aug 03, 2015",4,4,4,,4.25,4,Mantooth
3.12,183563,,"Jul 27, 2015",3.25,3,3.25,-13.3%,2.75,3.25,MIrvine
3.5,183556,,"Aug 20, 2016",3.5,3.5,3.5,-3.3%,3.5,3.5,Elicoleman
3.47,183556,,"Jul 27, 2015",3.5,3,3.5,-4.1%,3.5,3.5,MIrvine
3.97,90735,,"Sep 30, 2015",4,4.25,3.75,,4,4,rhong187
3.75,90735,,"Sep 28, 2015",3.75,3.75,3.75,-5.5%,3.75,3.75,NickThePyro
4,90735,,"Sep 26, 2015",4,4,4,,4,4,atlbravsrno1
4.35,90735,,"Sep 20, 2015",4.25,4.25,4.25,,4.25,4.5,Tyecko
3.94,90735,,"Sep 19, 2015",4,4,4,-0.8%,3.75,4,dertyd
3.68,53808,,"May 13, 2018",3.75,3.5,3.75,-4.7%,3.5,3.75,miwestcoaster
3.75,53808,,"May 07, 2018",3.75,3.75,3.75,-2.8%,3.75,3.75,bdiiorio
4.24,53808,,"May 06, 2018",3.75,4,4,,4.25,4.5,Hitchmaster5000
4,53808,,"Apr 27, 2018",3.75,4.25,3.75,,4.25,4,jzlyo
3.66,53808,,"Apr 18, 2018",3.25,4,3.75,-5.2%,3.5,3.75,hophugger
3.41,114393,"On tap at the brewpub in Boise. <br>
Clear amber body. While the aroma is normal strength for style, it is hoppy and has a relatively bold flavor. Nice sweet to mildly bitter transition. Good balance.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">196 characters</span><br><br>","Jun 23, 2017",3.25,3.25,3.25,-2.6%,3.5,3.5,chinchill
3.5,45498,,"Mar 14, 2018",3.5,3.5,3.5,-4.6%,3.5,3.5,dpl101
4.64,45498,,"Jan 25, 2018",5,3,5,,4,5,MadCoBeerMan14
4.22,84174,,"Jun 27, 2015",4,5,4,,4.25,4.25,aasher
3.89,84174,,"Jun 01, 2015",4,4.5,3.5,-3.5%,4.25,3.75,jag21
2.79,95838,,"Jul 03, 2016",3,3,2.75,-17.7%,2.75,2.75,tjcamm
3.22,95838,,"Jun 28, 2016",3.5,4,3.25,-5%,3.25,3,EyePeeAyBryan
3.57,95838,"I know that there has been some CANtroversy with this brewery recently, but The CANQuest (tm) has always been all-inclusive &amp; so we are happy to add this beer to the madness! Although, why does it look like a ""Repo Man"" prop?<br>
<br>
This was a prime CANdidate for a Crack! &amp; inverted Glug in celebration of their arrival in PA. This produced two-plus fingers of foamy, fizzy, eggshell-white head that quickly fizzled its way out of existence. Color was a brilliant Straw-Yellow (SRM = &gt; 2, &lt; 4) with NE-quality clarity. Nose had a light biscuit maltiness along with a lightly grassy hoppiness. Mouthfeel was slightly thin. The taste was clean, lightly malty sweet, slightly grassy with Saaz hops. Finish was clean, semi-dry, mostly unobtrusive. Once more, at just 5.0% ABV, I could sit around &amp; crush these over the course of an afternoon.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">833 characters</span><br><br>","Jun 21, 2016",3,3.75,3.5,,3.5,3.75,woodychandler
4,170128,,"Dec 16, 2017",4,4,4,,4,4,ninaturner
3.84,170128,,"Dec 08, 2017",3.75,4.25,3.75,-3.3%,4,3.75,DavetotheB
3.58,170128,,"Nov 24, 2017",3.5,3.75,3.5,-9.8%,3.75,3.5,Rollmeaway2loadout
3.5,114394,,"Jun 26, 2014",,,,,,,SamuelR
2.75,90624,,"Jun 10, 2013",,,,-22.8%,,,Topher78
3.72,90624,"The body is a deep, ruddy-brown color. Not much of a head forms, just a trace of tan, bubbly foam. It does leave some pretty nice looking lacing on the sides of the glass.<br>
<br>
The nose is very malty, with aromas of caramel, brown sugar, and some molasses. Piney hop notes, with some floral tones as well. A little touch of grapefruit sweetness is also there.<br>
<br>
Malt forward again, with flavors of caramel and toasted bread. There is also some vague, apple fruit flavors. Light citrus hops, with a floral essence. Piney hops with some juicy grapefruit come up towards the end, and the finish has a dry and bitter finish, with a red ale essence.<br>
<br>
The finish has some of the qualities of a red ale that I don't like (a weird mixture of malt sweetness and pine bitterness), but that is easily forgiven. An IPA to try out if you're looking for something different, as this is kind of a Red Ale/Amber/IPA hybrid. Pretty easy drinking, and satisfying.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">940 characters</span><br><br>","Jun 10, 2013",3.75,3.25,3.75,,3.75,3.75,litheum94
3.93,211580,"Bottle picked up at the Boise pub... Pours slightly hazed golden with a nice white head that shows good retention. Pungent grapefruit that still stays within style... bright hoppy flavor with a BARELY balanced pale maltiness... Any other region of the world and this would be a great IPA, but in the PNW, 10 Barrel delivers a great hop forward beer and calls it a pale ale... Awesome.<br>
<br>
3.75/3.75/4/4/4<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">401 characters</span><br><br>","Jan 25, 2016",4,3.75,4,,3.75,4,JohnGalt1
3.75,68870,,"Jan 06, 2013",,,,,,,Cjtytler
4.43,95837,,"Jan 18, 2018",4,4,4.25,,4.75,4.5,DougieAmphetaBeans
4,93370,,"Jul 16, 2014",,,,,,,atpca
3.75,93370,,"Jul 14, 2014",,,,-5.5%,,,PretzelCity
4,93370,,"Jul 13, 2014",,,,,,,vermilcj
4.5,93370,,"Jul 11, 2014",,,,,,,prossi44
3.71,64765,,"Jan 06, 2017",3.75,4,3.75,,3.5,3.75,Dave1999
3.63,64765,,"Jan 01, 2017",3.75,3.75,3.75,,3.25,3.75,Jcarriglio
3.75,64765,,"Dec 28, 2016",3.75,3.75,3.75,,3.75,3.75,elglueckert
3.54,230291,,"Jun 16, 2016",3.5,3.5,3.5,,3.25,3.75,Phi_Psi_OR_Beta
3.08,230291,,"Jun 14, 2016",3.5,2.75,3,-8.9%,2.75,3.25,devilmakesthree
3.22,230291,,"Jun 13, 2016",3.5,3.25,3.25,-4.7%,3,3.25,LXIXME
4,45495,,"Sep 12, 2015",4,4,4,,4,4,cantak
3.25,45495,,"Nov 03, 2014",,,,-6.1%,,,deebo
3.25,45495,,"Sep 11, 2014",,,,-6.1%,,,KevMo84
4.5,90735,,"Sep 13, 2015",4.5,4.5,4.5,,4.5,4.5,vma
3.96,90735,,"Sep 10, 2015",4,4.25,4,-0.3%,3.75,4,Fargrow
2.98,90735,,"Sep 08, 2015",3.25,4.25,3,-24.9%,2.5,3,jason_nwx
4.13,90735,,"Sep 06, 2015",4,3.5,4,,4.25,4.25,chossboss
3.75,53808,,"Apr 11, 2018",3.75,3.75,3.75,-2.8%,3.75,3.75,YeastEnthusiast
3.59,53808,,"Apr 10, 2018",3.75,3.75,3.75,-7%,3.5,3.5,ChipChaight
3.81,53808,,"Apr 04, 2018",3.75,3.75,3.75,-1.3%,4,3.75,22Blue
3.75,114393,,"Feb 05, 2017",3.75,3.75,3.75,,3.75,3.75,Irrationalist
3.45,114393,"Draft at the Boise pub... Pours slightly hazed pale golden with a pillowy white head... Grainy pale malt balanced by just hints of CCC hops to balance... Easy drinking... A pretty blonde nobody would ever kick out of bed.<br>
<br>
3.5/3.5/3.5/3.5/3.25<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">243 characters</span><br><br>","Jan 11, 2016",3.5,3.5,3.25,-1.4%,3.5,3.5,JohnGalt1
3.72,114393,,"Sep 10, 2015",4,3.75,3.75,,3.5,3.75,Fargrow
3.75,45498,,"Jan 15, 2018",3.75,3.75,3.75,,3.75,3.75,Beerbuddha
4.33,84174,,"May 16, 2015",4.25,4.5,4.25,,4.5,4.25,Boozecamel
3.5,84174,,"Aug 03, 2014",,,,-13.2%,,,JoelClark
4,84174,,"Jun 09, 2014",,,,-0.7%,,,ArdyExfor
4.25,84174,,"Jun 08, 2014",,,,,,,mc4z
3.29,95838,,"Jun 14, 2016",3.5,3.5,3.25,-2.9%,3.25,3.25,LXIXME
3.79,95838,,"Jun 13, 2016",4,4,3.75,,3.75,3.75,cosper
2.9,95838,,"May 06, 2016",3,3,3,-14.5%,3,2.75,IdrinkGas
3.72,170128,,"Nov 23, 2017",4.25,4,3.75,-6.3%,3.75,3.5,BlueShepard19
3.94,170128,,"Nov 09, 2017",4,4,4,-0.8%,3.75,4,Happyyb
2.83,114394,,"Mar 01, 2014",2.75,3.25,3,-6.6%,2.75,2.75,stevoj
3.31,90624,"Copper color, darker than most IPAs. Frothy cream colored head. <br>
<br>
Smells bordering on a red/amber ale with hints of wet paper.<br>
<br>
The hops are strong up front, but fairly easy drinking for a higher alcohol IPA. <br>
<br>
Smooth enough, but pretty flat. Somewhat astringent. Giving me some lingering hop breath.<br>
<br>
With an abundance of good IPAs these days, it's tough to be noticeable in a good way and this one doesn't really stand out from the pack for me.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">446 characters</span><br><br>","May 26, 2013",3.25,3.5,3.25,-7%,3,3.5,andyfrancis
4,90624,,"May 25, 2013",,,,,,,Pilvi
4.25,93370,,"Jul 10, 2014",,,,,,,DerwinWentworth
4.5,93370,,"Jul 08, 2014",,,,,,,GClarkage
3.75,93370,,"Jul 07, 2014",,,,-5.5%,,,shelby415
3.3,64765,,"Dec 21, 2016",3,3,3.5,-9.1%,3,3.5,rderedin
3.66,64765,,"Dec 18, 2016",3.75,4,3.5,,3.5,3.75,sjrider
3.25,64765,,"Dec 15, 2016",3.25,3.25,3.25,-10.5%,3.25,3.25,Whiskeydeez
3.73,64765,"22 oz. bottle:<br>
<br>
Pours dark, slightly hazed copper with a fluffy tan lasting head. Frothy lacing sticks.<br>
<br>
The smell is of caramel/toffee with dark fruit (plum) and an earthy tone.<br>
<br>
The taste is of sweet caramel/toffee (hint of chocolate?) sweetness balanced by a bitterness that almost clashes in the initial taste. I like the malt profile here and can appreciate the balance, though here it might be a bit much for what the brew is, and puts a bit of a dent in it. In-between scores for the taste, I'll go with the higher of the two scores I have in mind for it.<br>
<br>
Although alcohol does show, it is malty smooth and holds a medium body.<br>
<br>
The malt flavor is very good. I love hops and appreciate the balance to keep it from being too sweet, but here the bitter flavor detracts a bit. Still, it's a decent brew. It has some ""winter"" character. It's nice, but not a winter go-to brew for me.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">887 characters</span><br><br>","Dec 15, 2016",3.75,4.25,3.5,,3.75,3.75,jwc215
3.14,230291,,"Jun 09, 2016",2.75,3,3,-7.1%,3.25,3.25,thumperskibum
3,86999,,"Feb 26, 2016",3,3,3,-26.5%,3,3,bostonryan
3.94,86999,,"Feb 23, 2016",4,4,4,-3.4%,3.75,4,Vlaminck
4.24,86999,"bottle dated 12-30-15<br>
<br>
. Slightly hazy appearance.<br>
<br>
Smells like sweet citrus juice. Some classic pine in there as well. But it's juicy. It smells like gummy bears or something. <br>
<br>
Very juicy on the palate. Has a orange creamsicle type of flavor to it. But balanced by dryness and bitterness.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">290 characters</span><br><br>","Feb 21, 2016",4.25,4,4.25,,4.25,4.25,raynmoon
4.32,86999,,"Feb 08, 2016",4.25,3.75,4.25,,4.25,4.5,Crusher
3.5,45495,,"Aug 28, 2014",,,,,,,Beerasaurus
3,45495,,"Aug 03, 2014",,,,-13.3%,,,JoelClark
4,90735,,"Aug 29, 2015",4.25,3.5,4,,4,4,westcoastbeerlvr
3.81,90735,,"Aug 29, 2015",4,4.25,3.75,-4%,3.75,3.75,Beervana
3.71,90735,,"Aug 22, 2015",3.75,3.75,3.75,-6.5%,4,3.5,abrodsky
3.96,53808,,"Mar 27, 2018",3.75,3.75,4,,4,4,LarrysDeerGut
3.92,53808,,"Mar 22, 2018",3.75,4,4,,3.75,4,Corburk
3.19,114393,,"Mar 01, 2014",2.75,3,3.25,-8.9%,3.25,3.25,stevoj
3.99,45498,,"Oct 01, 2017",4,4,4.25,,3.75,4,jkermitj
3.68,45498,,"Jul 11, 2017",3.75,3.5,3.75,,3.5,3.75,erickc
4.75,84174,,"Dec 17, 2013",,,,,,,KCuff
4,84174,,"Oct 01, 2013",,,,-0.7%,,,sharpski
4,84174,,"Sep 07, 2013",,,,-0.7%,,,jaydoc
3.42,95838,"Canned 12/10/15.<br>
<br>
Pours a hazy yellow with a foamy off-white head that settles to wisps of film on top of the beer. Small dots of lace drip into the remaining beer on the drink down. Tiny particles of sediment are seen floating around in the beer after the pour. Smell is of grain, earth, grass, and hay aromas. Taste is much the same with fruit, earth, and grass flavors on the finish. There is a mild amount of bitterness on the palate with each sip. This beer has a lower level of carbonation with a slightly crisp mouthfeel. Overall, this is an above average beer that is drinkable, but there is nothing memorable about this one. <br>
<br>
Serving type: can.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">654 characters</span><br><br>","Apr 22, 2016",3.75,3.25,3.25,,3.75,3.25,UCLABrewN84
3.35,95838,,"Mar 22, 2016",3.5,3.5,3.25,-1.2%,3.5,3.25,Beerasaurus
3.19,95838,,"Mar 20, 2016",3.25,3.25,3.25,-5.9%,3,3.25,shelby415
