abv,availability,ba_score,beer_name,beer_number,brewery_name,brewery_number,notes,pdev,ranking,ratings,reviews,style
6.90%, Rotating,4.14,Locals Only IPA,171018,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Tucquan on 05-06-2015<br>,6.52%,-,8,3,American IPA
7.80%, Rotating,3.99,Liquid Sword,342026,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by DenverHopHead on 04-30-2018<br>,0%,-,1,0,American IPA
5.00%, Rotating,3.22,Juniper Session CDA,167330,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by kamikazeokami on 04-08-2015<br>,0%,-,1,0,American Dark Wheat Ale
5.30%, Rotating,2.91,Junior Varsity,128485,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 07-10-2014<br>,0%,-,2,1,American Blonde Ale
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
10.40%, Rotating,4.09,Jamaican Me Pumpkin,139778,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by jhartley on 10-05-2014<br>,11.49%,"#8,651",30,9,Pumpkin Ale
5.50%, Year-round,3.67,ISA (India-Style Session Ale),68870,10 Barrel Brewing Co.,16873,"India Session Ale... A brand new style from the twisted minds of 10 Barrel's brew crew. Deep gold with orange highlights. Big Citrusy aroma full of grapefruit and tangerine thanks to the massive dry hop!  Clean, crisp maltiness with a hint of sweetness. Pleasant, balanced bitterness as a result of the loaded late-kettle hop addition.",11.99%,"#32,917",80,17,American IPA
7.20%, Fall,3.81,Idahop - Fresh Hop IPA,191860,10 Barrel Brewing Co.,16873,"Really, a fresh hop Simco IPA with the hops grown in Idaho, Uep, and that's why we gave it such a fitting name! We managed to get an exclusive with this hop! Enjoy it while it's here, we will!",2.62%,-,3,3,American IPA
7.50%, Rotating,3.64,Idaho IPA,134370,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 08-22-2014<br>,7.42%,-,4,2,American IPA
5.60%, Rotating,3.66,Goggle Tan,306228,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by superspak on 10-08-2017<br>,8.2%,"#30,800",19,9,American Amber / Red Ale
6.50%, Rotating,4.1,Glen Coco,263049,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Keananmichael5 on 01-08-2017<br>,0%,-,2,0,American Stout
8.50%, Rotating,3.72,Gestatap,335772,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-30-2018<br>,0%,-,1,1,American Strong Ale
4.00%, Rotating,4.09,German Sparkle Party,89660,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 02-03-2013<br>,9.29%,"#7,657",36,6,Berliner Weissbier
6.50%, Rotating,4.03,Raspberry Crush,84174,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 08-09-2012<br>,10.42%,"#6,068",84,18,Berliner Weissbier
9.00%, Rotating,3.57,G Willie Wee Heavy,217083,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 02-27-2016<br>,11.2%,-,3,2,Scotch Ale / Wee Heavy
5.90%, Fall,3.73,Fukton (fresh Hop),252842,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Erik-P on 10-15-2016<br>,2.95%,-,3,0,American Pale Ale (APA)
4.90%, Rotating,3.52,Freak Alley IPA,284773,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by chinchill on 06-03-2017<br>,0%,-,1,1,American IPA
6.20%, Rotating,3.75,Extra Special - ESB,134373,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 08-22-2014<br>,0%,-,1,1,Extra Special / Strong Bitter (ESB)
11.90%, Rotating,4.01,Estonya Whiskey Barrel Aged Imperial Porter,213040,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by jaydoc on 02-02-2016<br>,9.23%,"#12,933",24,6,American Porter
, Rotating,3.54,Ella,239116,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 07-05-2016<br>,0%,-,1,1,American Pale Ale (APA)
5.00%, Rotating,3.39,El Dorado,189846,10 Barrel Brewing Co.,16873,"Single Hop Pale Ale. This hop has bright tropical fruit flavors and aromas of pear, watermelon and stone fruit.<br><br>Added by JohnGalt1 on 09-11-2015<br>",0%,-,1,1,American Pale Ale (APA)
5.70%, Year-round,3.65,S1nist0r Black Ale,45496,10 Barrel Brewing Co.,16873,"We craft our S1NIST0R Black Ale using a special German dehusked black malt that is free of astringency, giving the beer a rich black color without the traditional dark beer characteristics. You will notice subtle hints of chocolate with an easy drinking balance on the back end.  In the glass the dark color may look intimidating to some, but don't let this beer fool you. Our unique combination of malts creates a very light body and smooth finish.",11.51%,"#35,767",230,74,Schwarzbier
4.50%, Rotating,3.78,Easy Come Easy Gose,183562,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by MIrvine on 07-27-2015<br>,13.49%,-,3,0,Gose
10.00%, Year-round,3.91,Double Mosaic,180261,10 Barrel Brewing Co.,16873,Single hop DIPA brewed and dry hopped with Mosaic Hops. ,14.07%,"#22,097",10,4,American Double / Imperial IPA
9.00%, Rotating,3.88,Double Golden,203829,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 12-08-2015<br>,0%,-,1,1,American Strong Ale
8.90%, Rotating,3.93,Double Chocolate Stout,166973,10 Barrel Brewing Co.,16873,"A big chocolaty masterpiece. This decadent beer could almost be sliced and served on a dessert plate. Brewed with cocoa powder and organic fair trade cocoa nibs, it’s one that will satisfy your cravings.<br><br>Added by JohnGalt1 on 04-05-2015<br>",2.54%,-,4,1,American Stout
7.50%, Rotating,3.83,Doppelbock,195309,10 Barrel Brewing Co.,16873,This German style lager was brewed by the traditional Old World technique of double decoction. This produces a rich depth of maltiness with notes of brown sugar and molasses. All this malt goodness envelopes your tongue and leaves you salivating for more.<br><br>Added by JohnGalt1 on 10-15-2015<br>,0%,-,1,1,Doppelbock
7.20%, Rotating,3.68,Delusional Blonde,335891,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-30-2018<br>,0%,-,1,1,American Blonde Ale
5.40%, Rotating,4.05,Dat Sesh Doh,189763,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Fargrow on 09-10-2015<br>,6.42%,"#17,203",11,5,American IPA
10.00%, Rotating,4.25,Coconut Porter,154916,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by kamikazeokami on 01-20-2015<br>,0%,-,1,0,American Porter
7.40%, Rotating,3.25,Class Clown,232353,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 05-26-2016<br>,0%,-,1,1,American IPA
4.40%, Rotating,3.65,Cerveza Negra - Mexican Dark Lager,181532,10 Barrel Brewing Co.,16873,This beer is influenced from days of sitting on a puerto vallarta beach drinking a refreshing dark lager with a lime. A rich but cleansing malt presence is complimented by the slight spiciness from the noble hops. The perfect mix of craft and easy drinking.<br><br>Added by JohnGalt1 on 07-14-2015<br>,11.78%,-,8,2,Euro Dark Lager
7.50%, Rotating,3.71,Category 56,331899,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-08-2018<br>,0%,-,1,1,American IPA
7.60%, Rotating,4.05,Category 52 IPA,114398,10 Barrel Brewing Co.,16873,"""Category 52"" which is ""American Style IPA"" at the GABF.<br><br>Added by stevoj on 03-01-2014<br>",4.69%,-,9,2,American IPA
7.80%, Rotating,4.21,C-3 Rye CDA,211577,10 Barrel Brewing Co.,16873,This black IPA is what hop heads will be reaching for during the winter months. Weighing in at a hefty 7.8% ABV and 80 IBU's. This CDA is not for the dainty drinker. Come to the Dark Side...<br><br>Added by JohnGalt1 on 01-23-2016<br>,0%,-,1,1,American Black Ale
4.80%, Rotating,2.66,Bull Moose Brown,114397,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-01-2014<br>,0%,-,1,1,American Brown Ale
5.90%, Rotating,3.62,Brown Sour,114396,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-01-2014<br>,14.92%,-,3,1,Flanders Oud Bruin
7.20%, Year-round,4.06,(512) IPA,43535,(512) Brewing Company,17863,"(512) India Pale Ale is a big, aggressively dry-hopped American IPA with smooth bitterness (~65 IBU) balanced by medium maltiness. Organic 2-row malted barley, loads of hops, and great Austin water create an ale with apricot and vanilla aromatics that lure you in for more.<br><br>Added by wagenvolks on 07-04-2008<br>",10.84%,"#3,175",503,81,American IPA
5.50%, Rotating,3.79,Bring Da Ruckus,183561,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by MIrvine on 07-27-2015<br>,3.96%,-,3,1,American Porter
5.10%, Rotating,3.7,Bojack Porter - Rye Porter,189847,10 Barrel Brewing Co.,16873,"Bobby Jackson brews some very tasty beer in Bend, and he did not hold back when he brewed this one in Boise. Using German malts and two different Rye malts, he created this dark sessionable ale. Sip some as the nights get longer and cooler.<br><br>Added by JohnGalt1 on 09-11-2015<br>",3.51%,-,3,3,American Porter
6.00%, Rotating,3.11,Boise Pale,114395,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-01-2014<br>,18.65%,-,5,2,American Pale Ale (APA)
5.00%, Rotating,3.48,Boise 150,183558,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by MIrvine on 07-27-2015<br>,0%,-,2,0,American Blonde Ale
4.00%, Rotating,3.75,Blackbelly,343692,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by StonedTrippin on 05-07-2018<br>,0%,-,1,1,Gose
5.80%, Rotating,3.73,Black Saison,169163,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 04-21-2015<br>,0%,-,1,1,Saison / Farmhouse Ale
5.00%, Rotating,3.12,Bock,179589,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by cherche on 06-28-2015<br>,0%,-,2,0,Bock
7.50%, Rotating,4.13,Black Currant Uberliner,138326,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 09-22-2014<br>,4.6%,"#15,811",10,1,Berliner Weissbier
6.00%, Rotating,3.66,Bitter Concord,335864,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-30-2018<br>,0%,-,1,0,English Pale Ale
5.90%, Fall,3.69,Bine Plucker - Fresh Hop IPA,191861,10 Barrel Brewing Co.,16873,Oh how we love this time of year. Hop harvest time! We got some hops so fresh they should be illegal! Thanks to our friends at Gooding Farms in Wilder for sharing their Chinook hops this year!,0%,-,2,2,American IPA
6.10%, Fall,3.5,Big Daddy Fresh,206657,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by sharpski on 12-21-2015<br>,0%,-,1,0,American Pale Ale (APA)
7.53%, Rotating,3.9,Belgian Dubbel,235511,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by LXIXME on 06-13-2016<br>,0%,-,1,0,Dubbel
6.30%, Rotating,3.85,Riding Solo Single Hop Pale Ale - Comet,211580,10 Barrel Brewing Co.,16873,60 IBU Single Hop pale ale made with Comet hops.<br><br>Added by JohnGalt1 on 01-23-2016<br>,7.27%,"#16,415",68,14,American Pale Ale (APA)
8.00%, Spring,4.15,Big DIPA,150969,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Sound_Explorer on 12-24-2014<br>,11.33%,-,4,0,American Double / Imperial IPA
6.50%, Rotating,3.95,Trade Bait,297885,11 Below Brewing,39953,"The first batch features Galaxy, Simcoe, and Citra hops.<br><br>Added by Texasfan549 on 08-20-2017<br>",8.1%,"#18,072",16,3,American IPA
5.00%, Rotating,3.96,Cucumber Crush,95837,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.37%,"#6,705",192,36,Berliner Weissbier
7.00%, Winter,3.63,Pray For Snow,64765,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by cbarrett4 on 12-27-2010<br>,12.12%,"#37,292",252,53,American Strong Ale
5.30%, Year-round,3.64,Oso Bueno,167395,11 Below Brewing,39953,No notes at this time.<br><br>Added by Can_has_beer on 04-08-2015<br>,10.99%,"#33,871",47,10,American Amber / Red Ale
9.30%, Rotating,4.33,Negative Space (w/ Coffee),220970,11 Below Brewing,39953,No notes at this time.<br><br>Added by Dicers on 03-21-2016<br>,4.39%,-,5,0,Russian Imperial Stout
9.50%, Rotating,4.11,Negative Space,198052,11 Below Brewing,39953,No notes at this time.<br><br>Added by Can_has_beer on 11-04-2015<br>,6.81%,"#6,921",38,9,Milk / Sweet Stout
9.50%, Limited (brewed once),4.31,"Negative Space W/cocoa Nibs, Cinnamon, Chilies And Coffee",291421,11 Below Brewing,39953,No notes at this time.<br><br>Added by Texasfan549 on 07-13-2017<br>,5.34%,-,5,1,Milk / Sweet Stout
, Rotating,3.73,Lame Duck,241394,11 Below Brewing,39953,Australian and New Zealand dry hops to punch up those fun tropical aromas from down under.<br><br>Added by Dicers on 07-22-2016<br>,9.65%,"#27,545",24,3,American Pale Ale (APA)
5.00%, Rotating,3.39,Pub Beer,95838,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 06-28-2013<br>,12.98%,"#43,187",89,28,American Pale Lager
6.50%, Year-round,3.89,Hipster Sauce,338481,11 Below Brewing,39953,No notes at this time.<br><br>Added by Gagnonsux on 04-14-2018<br>,2.31%,-,6,2,American IPA
5.70%, Spring,3.59,Dublin Me Luck,329678,11 Below Brewing,39953,No notes at this time.<br><br>Added by Gagnonsux on 02-24-2018<br>,9.47%,-,5,1,Irish Red Ale
9.50%, Rotating,4.08,DUB Double India Pale Ale,86999,10 Barrel Brewing Co.,16873,"Kelso unloaded the hop cooler on this beer. It comes in at a little over 10.5 pounds of hops per barrel, and is off the IBU charts. This beer is NOT balanced, and was NOT intended to be, and will never be balanced. Seriously, if you don't like hops, this beer might possibly ruin your day.<br><br>Added by JohnGalt1 on 11-11-2012<br>",8.82%,"#4,436",102,32,American Double / Imperial IPA
4.80%, Summer,3.38,Piña,230291,10 Barrel Brewing Co.,16873,Piña is a light easy drinking Summer Ale made with pineapple and passion fruit. The perfect beer to run away with on those warm Summer days.<br><br>Added by jason_nwx on 05-16-2016<br>,16.27%,"#42,662",60,20,Fruit / Vegetable Beer
6.60%, Limited (brewed once),3.86,Daisy Chain IPA,331145,11 Below Brewing,39953,No notes at this time.<br><br>Added by jngrizzaffi on 03-03-2018<br>,5.44%,-,7,1,American IPA
6.20%, Year-round,3.88,Color Blind Red IPA,167398,11 Below Brewing,39953,No notes at this time.<br><br>Added by Can_has_beer on 04-08-2015<br>,12.63%,"#14,748",58,13,American IPA
4.50%, Rotating,3.8,BlackBerry 7-Iron,336112,11 Below Brewing,39953,No notes at this time.<br><br>Added by kjkinsey on 03-31-2018<br>,0%,-,2,0,American Blonde Ale
12.30%, Rotating,4.26,Big Mistake,212267,11 Below Brewing,39953,"Remember that time when we were all of 3 months into being an actual brewery and we decided it was time to start barrel aging in some local whiskey and bourbon barrels? It wasn't the smartest decision, but we were young and dumb. So we brewed a big ol' Russian Imperial Stout to age in those barrels because that's what we do.",6.81%,"#6,738",22,8,Russian Imperial Stout
, Rotating,3.25,Juicy IPA w/ Blood Orange,325729,(512) Brewing Company,17863,No notes at this time.<br><br>Added by kojevergas on 02-03-2018<br>,0%,-,1,1,American IPA
9.50%, Rotating,3.97,Double IPA,95371,(512) Brewing Company,17863,No notes at this time.<br><br>Added by Beer-Zombie on 06-18-2013<br>,11.84%,"#10,585",47,6,American Double / Imperial IPA
10.40%, Spring,3.52,Cabernet Barrel Aged Imperial Stout,220146,(512) Brewing Company,17863,No notes at this time.<br><br>Added by MrHolden on 03-15-2016<br>,25.57%,-,3,1,American Double / Imperial Stout
5.70%, Rotating,4.99,Burst! IPA,337921,(512) Brewing Company,17863,"Our latest IPA creation, uses a new technique designed to maximize hop character. Unlike traditional hop additions, where bittering is achieved by boiling hops for an extended period, all the hop bitterness, aroma and flavor for this one is achieved by holding back the hop additions until late in the boil. The Result? A BURST of hops unlike anything we’ve done before. Hop varieties include some of our citrusy favorites like Simcoe, Amarillo and Citra and a new hop to us, Eukanot, which adds some tropical fruitiness.<br><br>Added by gilgar on 04-10-2018<br>",0%,-,1,0,American IPA
5.20%, Year-round,3.79,(512) Wit,43536,(512) Brewing Company,17863,"Made in the style of the Belgian wheat beers that are so refreshing, (512) Wit is a hazy ale spiced with coriander and domestic grapefruit peel. 50% US Organic 2-row malted barley and 50% US unmalted wheat and oats make this a light, crisp ale well suited for any occasion.<br><br>Added by wagenvolks on 07-04-2008<br>",12.66%,"#20,642",122,22,Witbier
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
9.00%, Rotating,3.78,(512) Wild Bear,75401,(512) Brewing Company,17863,"(512)'s first excursion into the world of so-called wild fermentation, Wild Bear's origins lie in our Fall seasonal, BRUIN. After primary fermentation, we added Brettanomyces yeast and Pediococcus bacteria cultures, and aged the blend in new oak barrels for over 10 months. This combination of wild ""bugs"" and barrel aging gives (512) Wild Bear a complex and enticing aroma of tart cherries, oak, and a touch of barnyard ""funkiness"", a crisp, tart flavor that will intensify with age, and an effervescent, oaky finish that leaves the palate clean.<br><br>Added by drummermattie02 on 11-17-2011<br>",15.34%,"#22,231",90,17,American Wild Ale
5.30%, Summer,3.68,(512) White IPA,128073,(512) Brewing Company,17863,No notes at this time.<br><br>Added by Gagnonsux on 07-06-2014<br>,14.67%,"#30,642",31,3,Belgian IPA
10.00%, Rotating,3.8,(512) Whiskey Imperial Stout,185312,(512) Brewing Company,17863,No notes at this time.<br><br>Added by kjkinsey on 08-08-2015<br>,19.74%,-,4,1,American Double / Imperial Stout
8.20%, Winter,4.14,(512) Whiskey Barrel Aged Double Pecan Porter,54905,(512) Brewing Company,17863,"(512) Double Pecan Porter is a robust porter accented by locally grown roasted pecans and subtly enhanced by aging in recently emptied oak whiskey barrels. For the first ever bottling, only one 200L barrel was bottled. Notes of chocolate, coffee and pecan marry with the subtle flavors of vanilla and whiskey to make this a wonderful winter warmer worth sharing and savoring. We sincerely hope you enjoy every sip.",13.77%,"#2,064",433,95,American Porter
9.00%, Rotating,3.95,(512) TWO,61208,(512) Brewing Company,17863,"Our 2nd Anniversary release is an Double IPA heavily hopped with over 4 lbs/bbl of Simcoe, Magnum, Nugget and Ahtanum. This is a big, malty ale with delicate hop and rich malt aroma, complex hop flavor and sustained smooth hop bitterness. Hops are added from beginning to end during the brewing process and, like most (512) ales, this one is made using over 80% USDA certified organic ingredients. Not to be missed.<br><br>Added by wagenvolks on 08-20-2010<br>",11.65%,"#8,689",94,23,American Double / Imperial IPA
5.30%, Rotating,4.15,(512) Smash (Pacific Jade),259015,(512) Brewing Company,17863,No notes at this time.<br><br>Added by sd123 on 12-07-2016<br>,0%,-,1,0,American IPA
5.30%, Rotating,3.7,(512) Smash #6 (Caliente),243036,(512) Brewing Company,17863,No notes at this time.<br><br>Added by gilgar on 08-01-2016<br>,15.14%,-,5,0,American IPA
6.50%, Rotating,4.03,Raspberry Crush,84174,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 08-09-2012<br>,10.42%,"#6,068",84,18,Berliner Weissbier
, Rotating,3.94,(512) Smash,182131,(512) Brewing Company,17863,No notes at this time.<br><br>Added by kjkinsey on 07-18-2015<br>,11.93%,"#14,396",31,2,American IPA
6.80%, Rotating,4.21,(512) Raspberry Beret,84419,(512) Brewing Company,17863,No notes at this time.<br><br>Added by Mora2000 on 08-16-2012<br>,10.45%,-,8,3,American Porter
6.80%, Year-round,4.14,(512) Pecan Porter,45617,(512) Brewing Company,17863,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Baird’s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!<br><br>Added by JonathanL7890 on 10-29-2008<br>",11.11%,"#1,863",774,135,American Porter
5.80%, Year-round,3.71,(512) Pale,43534,(512) Brewing Company,17863,"With Organic 2-row malted barley, (512) Pale is a copper colored American Pale Ale that balances earthy hop bitterness and hop flavor with a rich malty body.<br><br>Added by wagenvolks on 07-04-2008<br>",11.05%,"#29,413",75,16,American Pale Ale (APA)
7.30%, Rotating,3.57,Bam Bam Belgian Stout ,167332,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by kamikazeokami on 04-08-2015<br>,0%,-,2,1,Belgian Dark Ale
4.20%, Rotating,3.97,Apricot Crush,90735,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 03-03-2013<br>,10.33%,"#8,812",70,6,Berliner Weissbier
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
5.70%, Year-round,3.65,S1nist0r Black Ale,45496,10 Barrel Brewing Co.,16873,"We craft our S1NIST0R Black Ale using a special German dehusked black malt that is free of astringency, giving the beer a rich black color without the traditional dark beer characteristics. You will notice subtle hints of chocolate with an easy drinking balance on the back end.  In the glass the dark color may look intimidating to some, but don't let this beer fool you. Our unique combination of malts creates a very light body and smooth finish.",11.51%,"#35,767",230,74,Schwarzbier
5.20%, Rotating,3.78,American Wheat,284568,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by chinchill on 06-02-2017<br>,0%,-,1,1,American Pale Wheat Ale
6.10%, Rotating,3.7,American Brown Ale,127680,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by JohnGalt1 on 07-03-2014<br>,12.7%,-,4,1,American Brown Ale
5.80%, Rotating,3.03,Amber Waves Of Grain,114394,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-01-2014<br>,11.88%,-,5,2,American Amber / Red Ale
8.00%, Rotating,3.6,Alton Bruin,183563,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by MIrvine on 07-27-2015<br>,11.11%,-,4,1,Belgian Strong Dark Ale
5.60%, Fall,3.73,Alpengeist Spiced Lager,254367,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by Gagnonsux on 10-27-2016<br>,0%,-,1,0,American Amber / Red Lager
10.00%, Winter,4.01,All Wheel Drive,264043,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by devilmakesthree on 01-16-2017<br>,0%,-,1,0,Belgian Strong Dark Ale
5.50%, Rotating,3.62,All That Glitters,183556,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by MIrvine on 07-27-2015<br>,6.08%,-,4,0,American Blonde Ale
7.20%, Year-round,4.06,(512) IPA,43535,(512) Brewing Company,17863,"(512) India Pale Ale is a big, aggressively dry-hopped American IPA with smooth bitterness (~65 IBU) balanced by medium maltiness. Organic 2-row malted barley, loads of hops, and great Austin water create an ale with apricot and vanilla aromatics that lure you in for more.<br><br>Added by wagenvolks on 07-04-2008<br>",10.84%,"#3,175",503,81,American IPA
6.20%, Rotating,3.75,Acadian Pale,223053,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by kylehay2004 on 04-04-2016<br>,0%,-,1,0,American Pale Ale (APA)
7.00%, Limited (brewed once),3.85,986,335769,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-30-2018<br>,0%,-,1,1,American Black Ale
5.00%, Rotating,3.5,150 Boise Blonde,114393,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by stevoj on 03-01-2014<br>,6%,-,5,3,American Blonde Ale
6.50%, Year-round,3.67,10 Barrel IPA,45498,10 Barrel Brewing Co.,16873,Formerly called 'Wildfire Backdraft IPA',10.9%,"#32,544",64,4,American IPA
4.80%, Year-round,3.07,Sidewinder White Wheat,129950,101 Brewery at Twana Roadhouse,35867,No notes at this time.<br><br>Added by TheBungyo on 07-21-2014<br>,0%,-,1,0,American Pale Wheat Ale
5.60%, Year-round,2.87,Peckerpole Pale Ale,129949,101 Brewery at Twana Roadhouse,35867,No notes at this time.<br><br>Added by TheBungyo on 07-21-2014<br>,0%,-,1,0,American Pale Ale (APA)
6.00%, Year-round,2.8,Look Out Stout,129952,101 Brewery at Twana Roadhouse,35867,No notes at this time.<br><br>Added by TheBungyo on 07-21-2014<br>,0%,-,2,0,American Stout
6.50%, Rotating,3.21,Wooly Bully,218559,10K Brewing,43126,No notes at this time.<br><br>Added by papat444 on 03-07-2016<br>,16.51%,-,5,0,Rye Beer
7.80%, Year-round,3.5,Wee Heavy Scotch Ale,291814,10K Brewing,43126,No notes at this time.<br><br>Added by SaxmanRick on 07-15-2017<br>,0%,-,1,0,Scotch Ale / Wee Heavy
7.00%, Rotating,4.03,(512) Funky Kingston,169502,(512) Brewing Company,17863,No notes at this time.<br><br>Added by IrishColonial on 04-23-2015<br>,7.44%,"#9,412",37,5,American Wild Ale
5.30%, Summer,3.72,(512) Export Lager,243576,(512) Brewing Company,17863,No notes at this time.<br><br>Added by Gagnonsux on 08-06-2016<br>,10.75%,"#27,800",10,1,Dortmunder / Export Lager
7.50%, Rotating,3.59,(512) English Strong Ale,86328,(512) Brewing Company,17863,Formerly known as (512) FOUR,14.76%,"#37,226",61,5,English Strong Ale
7.00%, Rotating,3.77,(512) Coco Cerise,139105,(512) Brewing Company,17863,No notes at this time.<br><br>Added by Getalegup on 09-29-2014<br>,10.08%,"#25,964",14,2,American Porter
5.30%, Year-round,3.64,Oso Bueno,167395,11 Below Brewing,39953,No notes at this time.<br><br>Added by Can_has_beer on 04-08-2015<br>,10.99%,"#33,871",47,10,American Amber / Red Ale
7.00%, Winter,3.63,Pray For Snow,64765,10 Barrel Brewing Co.,16873,No notes at this time.<br><br>Added by cbarrett4 on 12-27-2010<br>,12.12%,"#37,292",252,53,American Strong Ale
6.30%, Rotating,3.85,Riding Solo Single Hop Pale Ale - Comet,211580,10 Barrel Brewing Co.,16873,60 IBU Single Hop pale ale made with Comet hops.<br><br>Added by JohnGalt1 on 01-23-2016<br>,7.27%,"#16,415",68,14,American Pale Ale (APA)
6.00%, Winter,4.06,(512) Cascabel Cream Stout,65536,(512) Brewing Company,17863,"Smooth and roasty, and black as night, (512) Cascabel Cream Stout is brewed to a hair under 6% abv using almost 90% Organic Two Row and Crystal Malts, Chocolate Malt, and Roasted Barley. Non-fermentable Brewers Lactose is added for lasting sweetness, and over 20 pounds of Guajillo Chiles are added after fermentation to warm you up when the night gets chile.<br><br>Added by champ103 on 01-23-2011<br>",11.58%,"#4,236",145,17,Milk / Sweet Stout
